Rank,Release,Gross,MaxTh,Opening,% of Total,Open Th,Open,Close,Distributor
1,Barbie,$636238421,4337,$162022044,25.5%,4243,Jul 21,0,Warner Bros.
2,The Super Mario Bros. Movie,$574934330,4371,$146361865,25.5%,4343,Apr 5,Sep 7,Universal Pictures
3,Spider-Man: Across the Spider-Verse,$381311319,4332,$120663589,31.6%,4313,Jun 2,Sep 14,Columbia Pictures
4,Guardians of the Galaxy Vol. 3,$358995815,4450,$118414021,33%,4450,May 5,0,Walt Disney Studios Motion Pictures
5,Oppenheimer,$328770130,3761,$82455420,25.1%,3610,Jul 21,0,Universal Pictures
6,Ant-Man and the Wasp: Quantumania,$214504909,4345,$106109650,49.5%,4345,Feb 17,Jun 15,Walt Disney Studios Motion Pictures
7,John Wick: Chapter 4,$187131806,3855,$73817950,39.4%,3855,Mar 24,Jun 15,Lions Gate Films
8,Taylor Swift: The Eras Tour,$180756269,3855,$93224755,51.6%,3855,Oct 13,0,0
9,Indiana Jones and the Dial of Destiny,$174480468,4600,$60368101,34.6%,4600,Jun 30,Sep 14,Walt Disney Studios Motion Pictures
10,Mission: Impossible - Dead Reckoning Part One,$172135383,4327,$54688347,31.8%,4327,Jul 12,Sep 21,Paramount Pictures
11,The Hunger Games: The Ballad of Songbirds & Snakes,$166350594,3776,$44607143,26.8%,3776,Nov 17,0,Lions Gate Films
12,Transformers: Rise of the Beasts,$157066392,3680,$61045464,38.9%,3678,Jun 9,0,Paramount Pictures
13,Creed III,$156248615,4007,$58370007,37.4%,4007,Mar 3,May 18,United Artists Releasing
14,Fast X,$146126015,4088,$67017410,45.9%,4046,May 19,0,Universal Pictures
15,Five Nights at Freddy's,$137275620,3789,$80001720,58.3%,3675,Oct 27,0,Universal Pictures International (UPI)
16,Aquaman and the Lost Kingdom,$120853270,3787,$27686211,22.9%,3706,Dec 22,0,Warner Bros.
17,Teenage Mutant Ninja Turtles: Mutant Mayhem,$118613586,3950,$28007544,23.6%,3858,Aug 2,Oct 26,Paramount Pictures
18,Scream VI,$108161389,3676,$44447270,41.1%,3675,Mar 10,May 4,Paramount Pictures
19,The Flash,$108133313,4256,$55043679,50.9%,4234,Jun 16,Aug 17,Warner Bros.
20,Migration,$106443010,3839,$12453275,11.7%,3761,Dec 22,0,Universal Pictures
21,Trolls Band Together,$102521675,3893,$30002525,29.3%,3870,Nov 17,0,Universal Pictures
22,M3GAN,$95159005,3628,$30429860,32%,3509,Jan 6,0,Universal Pictures
23,Dungeons & Dragons: Honor Among Thieves,$93277026,3856,$37205784,39.9%,3855,Mar 31,0,Paramount Pictures
24,The Equalizer 3,$92373751,3965,$34604229,37.5%,3965,Sep 1,0,Columbia Pictures
25,The Marvels,$84500223,4030,$46110859,54.6%,4030,Nov 10,0,Walt Disney Studios Motion Pictures
26,Insidious: The Red Door,$82156962,3188,$33013036,40.2%,3188,Jul 7,Sep 14,Screen Gems
27,Anyone But You,$76482971,3055,$6000344,7.8%,3055,Dec 22,0,Columbia Pictures
28,Blue Beetle,$72488072,3871,$25030225,34.5%,3871,Aug 18,0,Warner Bros.
29,Killers of the Flower Moon,$67781398,3786,$23253655,34.3%,3628,Oct 20,0,Paramount Pictures
30,Haunted Mansion,$67653287,3740,$24082475,35.6%,3740,Jul 28,Nov 2,Walt Disney Studios Motion Pictures
31,The Exorcist: Believer,$65537395,3684,$26497600,40.4%,3663,Oct 6,0,Universal Pictures
32,PAW Patrol: The Mighty Movie,$65231360,4027,$22764354,34.9%,3989,Sep 29,Nov 23,Paramount Pictures
33,Cocaine Bear,$64670240,3571,$23260790,36%,3534,Feb 24,0,Universal Pictures
34,A Man Called Otto,$64267657,3957,$56257,<0.1%,4,Jan 13,Apr 13,Columbia Pictures
35,Wish,$63632979,3900,$19698228,31%,3900,Nov 22,0,Walt Disney Studios Motion Pictures
36,Napoleon,$61506157,3500,$20638887,33.6%,3500,Nov 22,0,Columbia Pictures
37,The Color Purple,$60367292,3218,$11737072,19.4%,3203,Dec 25,0,Warner Bros.
38,Shazam! Fury of the Gods,$57638006,4071,$30111158,52.2%,4071,Mar 17,0,Warner Bros.
39,Saw X,$53607898,3262,$18309301,34.2%,3262,Sep 29,0,Lions Gate Films
40,Air,$52460106,3507,$14456279,27.6%,3507,Jun 1,0,0
41,Jesus Revolution,$52102987,2575,$15882067,30.5%,2475,Feb 24,0,Lions Gate Films
42,No Hard Feelings,$50452282,3208,$15002770,29.7%,3208,Jun 23,0,Sony Pictures Releasing
43,The Boys in the Boat,$49707517,2687,$8400548,16.9%,2557,Dec 25,0,0
44,Talk to Me,$48299436,2379,$10431720,21.6%,2340,Jul 28,0,A24
45,Gran Turismo,$44428554,3856,$17410552,39.2%,3856,Aug 25,Oct 19,Sony Pictures Releasing
46,The Creator,$40774679,3680,$14079512,34.5%,3680,Sep 29,0,Walt Disney Studios Motion Pictures
47,80 for Brady,$39330588,3939,$12701640,32.3%,3912,Feb 3,0,Paramount Pictures
48,Knock at the Cabin,$35397980,3657,$14127170,39.9%,3643,Feb 3,Mar 16,Universal Pictures
49,The Iron Claw,$34193183,2794,$4868370,14.2%,2774,Dec 22,0,A24
50,Renaissance: A Film by Beyoncé,$33889684,2542,$21801216,64.3%,2539,Dec 1,0,0
51,Missing,$32502025,3025,$9154695,28.2%,3025,Jan 20,0,Sony Pictures Releasing
52,Plane,$32111181,3060,$10265326,32%,3023,Jan 13,Mar 2,Lions Gate Films
53,65,$32062904,3405,$12328361,38.5%,3405,Mar 10,0,Sony Pictures Releasing
54,Thanksgiving,$31908884,3204,$10306272,32.3%,3204,Nov 17,0,TriStar Pictures
55,My Big Fat Greek Wedding 3,$28496030,3678,$10028675,35.2%,3650,Sep 8,0,Focus Features
56,Asteroid City,$28153025,1901,$853382,3%,6,Jun 23,Sep 7,Focus Features
57,Strays,$23988885,3232,$8247810,34.4%,3223,Aug 18,Sep 28,Universal Pictures
58,Priscilla,$20864910,2361,$132139,0.6%,4,Nov 3,0,A24
59,Are You There God? It's Me Margaret.,$20372406,3343,$6739037,33.1%,3343,Apr 28,Jun 15,Lions Gate Films
