title,release_date,opening_box_office,domestic_box_office,franchise
Star Wars: Episode IV - A New Hope,1977-5-25,1554475,460998507,Star Wars
Star Wars: Episode VI - Return of the Jedi,1983-5-25,23019618,316566101,Star Wars
Star Wars: Episode I - The Phantom Menace,1999-5-19,64820970,474544677,Star Wars
Star Wars: Episode II - Attack of the Clones,2002-05-16,80027814,310676740,Star Wars
Star Wars: Episode III - Revenge of the Sith,2005-5-18,108435841,380270577,Star Wars
Star Wars: Episode V - The Empire Strikes Back,1980-5-21,4910483,292753960,Star Wars
Star Wars: The Clone Wars,2008-8-14,14611273,35161554,Star Wars
Star Wars: Episode VIII - The Last Jedi,2017-12-13,220009584,620181382,Star Wars
Star Wars: Episode VII - The Force Awakens,2015-12-16,257966675,936662225,Star Wars
Rogue One: A Star Wars Story,2016-12-14,155081681,533539991,Star Wars
Star Wars: Episode IX - The Rise of Skywalker,2019-12-18,177383864,515202542,Star Wars
Solo: A Star Wars Story,2018-5-23,84420489,213767512,Star Wars
Robin Hood (Disney),1973-11-8,0,9600000,Disney
Puss in Boots: The Last Wish,2022-12-7,12429515,186090535,Disney
Shrek 2,2004-5-19,108037878,441426807,Disney
Shrek the Third,2007-05-17,121629270,322719944,Disney
Shrek Forever After,2010-5-10,70838207,238736787,Disney
Shrek,2001-05-16,42347760,268349831,Disney
Puss in Boots,2011-10-27,34077439,149260504,Disney
The Lord of the Rings(animated),1978-11-15,626649,30471420,LOTR
The Lord of the Rings: The Return of the King,2003-12-17,72629713,379427292,LOTR
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,47211490,316115420,LOTR
The Lord of the Rings: The Two Towers,2002-12-18,62007528,3432952511,LOTR
Shang-Chi and the Legend of the Ten Rings,2021-9-1,75388688,224543292,Marvel
The Hobbit: The Battle of the Five Armies,2013-12-10,54724334,255138261,LOTR
The Hobbit: An Unexpected Journey,2012-12-12,84617303,303030651,LOTR
The Hobbit: The Desolation of Smaug,2013-12-11,73645197,258387334,LOTR
The Marvels,2023-10-08,46110859,84500223,Marvel
Captain Marvel,2019-03-05,153433423,426829839,Marvel
Black Widow,2021-07-07,80366312,183651655,Marvel
The Avengers,2012-04-25,207438708,623357910,Marvel
Avengers:Age of Ultron,2015-04-22,191271109,459005868,Marvel
Iron Man,2008-04-30,98618668,319034126,Marvel
Iron Man 2,2010-04-28,128122480,312433331,Marvel
Iron Man 3,2013-04-24,174144585,409013994,Marvel
Captain America: The First Avenger,2011-07-22,65058524,176654505,Marvel
Captain America: Civil War,2016-04-27,179139142,408084349,Marvel
Captain America: The Winter Soldier,2014-03-26,95023721,259766572,Marvel
Thor,2011-05-06,65723338,181030624,Marvel
Thor:Ragnarok,2017-10-24,122744989,315058289,Marvel
Thor:Love and Thunder,2022-07-06,144165107,343256830,Marvel
Thor:The Dark World,2013-10-30,85737841,206362140,Marvel
The Incredible Hulk,2008-06-13,55414050,134806913,Marvel
Guardians of the Galaxy,2014-07-30,94320883,333718600,Marvel
Guardians of the Galaxy Vol. 2,2017-04-25,146510104,389813101,Marvel
Guardians of the Galaxy Vol. 3,2023-04-13,118414021,358995815,Marvel
Ant-Man and the Wasp: Quantumania,2023-02-15,106109650,214504909,Marvel
Ant-Man,2015-07-10,57225526,180202163,Marvel
Ant-Man and the Wasp,2018-07-04,75812205,216648740,Marvel
Doctor Strange in the Multiverse of Madness,2022-05-04,187420998,411331607,Marvel
Doctor Strange,2016-10-25,85058311,232641920,Marvel
Black Panther,2018-02-13,202003951,700426566,Marvel
Black Panther: Wakanda Forever,2022-11-04,181339761,453829060,Marvel
