Year,Tickets Sold,Total Box Office,Total Inflation Adjusted Box Office,Average Ticket Price
2023,849480775,8945034906,8945035065,10.53
2022,705170392,7425446278,7425446378,10.53
2021,434111095,4514756901,4571189837,10.40
2020,211115491,1986598644,2223046129,9.41
2019,1228896463,11256694200,12940279758,9.16
2018,1311402914,11946883074,13809072692,9.11
2017,1225632177,10993923429,12905906833,8.97
2016,1302610878,11267587337,13716492540,8.65
2015,1323277802,11155234880,13934115248,8.43
2014,1257281692,10271994581,13239176240,8.17
2013,1339166092,10887423301,14101418963,8.13
2012,1382831536,11007341997,14561216076,7.96
2011,1282915421,10173521698,13509099390,7.93
2010,1328787540,10484135922,13992132790,7.89
2009,1418567388,10639257284,14937466933,7.50
2008,1358070498,9750948245,14300482331,7.18
2007,1420070454,9770087282,14953341873,6.88
2006,1401392669,9179124447,14756664813,6.55
2005,1372980280,8800805718,14457482349,6.41
2004,1495066169,9284362879,15743046761,6.21
2003,1524589620,9193277289,16053928694,6.03
2002,1575756527,9155147215,16592716235,5.81
2001,1465908110,8297041538,15436012407,5.66
2000,1395129002,7519746970,14690708385,5.39
1999,1444672583,7338938019,15212402304,5.08
1998,1453112817,6815100112,15301277959,4.69
1997,1347603872,6185502661,14190268773,4.59
1996,1305230850,5769121147,13743987076,4.42
1995,1221778976,5314739245,12865332623,4.35
1994,,,,4.18
1993,,,,4.14
1992,,,,4.15
1991,,,,4.21
1990,,,,4.22
1989,,,,3.99
1988,,,,4.11
1987,,,,3.91
1986,,,,3.71
1985,,,,3.55
1984,,,,3.36
1983,,,,3.15
1982,,,,2.94
1981,,,,2.78
1980,,,,2.69
1979,,,,2.52
1978,,,,2.34
1977,,,,2.23
1976,,,,2.13
1975,,,,2.05
1974,,,,1.89
1973,,,,1.76
1972,,,,1.70
1971,,,,1.65
1970,,,,1.55
