Year,Tickets Sold,Total Box Office,Average Ticket Price
2023,849480775.0,8945034906.0,10.53
2022,705170392.0,7425446278.0,10.53
2021,434111095.0,4514756901.0,10.4
2020,211115491.0,1986598644.0,9.41
2019,1228896463.0,11256694200.0,9.16
2018,1311402914.0,11946883074.0,9.11
2017,1225632177.0,10993923429.0,8.97
2016,1302610878.0,11267587337.0,8.65
2015,1323277802.0,11155234880.0,8.43
2014,1257281692.0,10271994581.0,8.17
2013,1339166092.0,10887423301.0,8.13
2012,1382831536.0,11007341997.0,7.96
2011,1282915421.0,10173521698.0,7.93
2010,1328787540.0,10484135922.0,7.89
2009,1418567388.0,10639257284.0,7.5
2008,1358070498.0,9750948245.0,7.18
2007,1420070454.0,9770087282.0,6.88
2006,1401392669.0,9179124447.0,6.55
2005,1372980280.0,8800805718.0,6.41
2004,1495066169.0,9284362879.0,6.21
2003,1524589620.0,9193277289.0,6.03
2002,1575756527.0,9155147215.0,5.81
2001,1465908110.0,8297041538.0,5.66
2000,1395129002.0,7519746970.0,5.39
1999,1444672583.0,7338938019.0,5.08
1998,1453112817.0,6815100112.0,4.69
1997,1347603872.0,6185502661.0,4.59
1996,1305230850.0,5769121147.0,4.42
1995,1221778976.0,5314739245.0,4.35
1994,1210983153.8277512,5061909583.0,4.18
1993,1165003890.3381643,4823116106.0,4.14
1992,1089070849.638554,4519644026.0,4.15
1991,1029946206.6508313,4336073530.0,4.21
1990,1025313880.8056873,4326824577.0,4.22
1989,1023574139.0977443,4084060815.0,3.99
1988,861844268.6131387,3542179944.0,4.11
1987,855046290.5370843,3343230996.0,3.91
1986,826225799.1913747,3065297715.0,3.71
1985,849966006.4788733,3017379323.0,3.55
1984,912585714.2857143,3066288000.0,3.36
1983,869268385.3968254,2738195414.0,3.15
1982,1021007289.7959183,3001761432.0,2.94
1981,323268690.64748204,898686960.0,2.78
1980,610557907.4349443,1642400771.0,2.69
1979,487868433.73015875,1229428453.0,2.52
1978,353167954.2735043,826413013.0,2.34
1977,198877785.20179373,443497461.0,2.23
1976,,,2.13
1975,,,2.05
1974,,,1.89
1973,,,1.76
